Dalbavancin/Staphylococcus epidermidis: Not enough interesting isolates, 0/5 isolates were selected
Tetracycline/Staphylococcus lugdunensis: Not enough interesting isolates, 3/5 isolates were selected
Trimethoprim-sulfamethoxazole/Staphylococcus lugdunensis: Not enough interesting isolates, 0/5 isolates were selected
Vancomycin/Staphylococcus lugdunensis: Not enough interesting isolates, 0/5 isolates were selected
Dalbavancin/Enterococcus faecium: Not enough interesting isolates, 0/5 isolates were selected
Daptomycin/Enterococcus faecium: Not enough interesting isolates, 0/5 isolates were selected
Gentamicin/Enterococcus faecium: Not enough interesting isolates, 0/5 isolates were selected
Linezolid/Enterococcus faecium: Not enough interesting isolates, 1/5 isolates were selected
Ampicillin/Enterococcus faecalis: Not enough interesting isolates, 2/5 isolates were selected
Dalbavancin/Enterococcus faecalis: Not enough interesting isolates, 0/5 isolates were selected
Daptomycin/Enterococcus faecalis: Not enough interesting isolates, 0/5 isolates were selected
Gentamicin/Enterococcus faecalis: Not enough interesting isolates, 0/5 isolates were selected
Linezolid/Enterococcus faecalis: Not enough interesting isolates, 0/5 isolates were selected
Teicoplanin/Enterococcus faecalis: Not enough interesting isolates, 4/5 isolates were selected
Linezolid/Streptococcus pneumoniae: Not enough interesting isolates, 1/5 isolates were selected
Meropenem/Streptococcus pneumoniae: Not enough interesting isolates, 0/5 isolates were selected
Teicoplanin/Streptococcus pneumoniae: Not enough interesting isolates, 1/5 isolates were selected
Vancomycin/Streptococcus pneumoniae: Not enough interesting isolates, 1/5 isolates were selected
Meropenem/Streptococcus mitis: Not enough interesting isolates, 1/5 isolates were selected
Teicoplanin/Streptococcus mitis: Not enough interesting isolates, 0/5 isolates were selected
Vancomycin/Streptococcus mitis: Not enough interesting isolates, 0/5 isolates were selected
Ampicillin/Streptococcus oralis: Not enough interesting isolates, 2/5 isolates were selected
Ceftriaxone/Streptococcus oralis: Not enough interesting isolates, 0/5 isolates were selected
Meropenem/Streptococcus oralis: Not enough interesting isolates, 0/5 isolates were selected
Teicoplanin/Streptococcus oralis: Not enough interesting isolates, 0/5 isolates were selected
Vancomycin/Streptococcus oralis: Not enough interesting isolates, 0/5 isolates were selected
Ampicillin/Streptococcus anginosus: Not enough interesting isolates, 2/5 isolates were selected
Ceftriaxone/Streptococcus anginosus: Not enough interesting isolates, 0/5 isolates were selected
Meropenem/Streptococcus anginosus: Not enough interesting isolates, 0/5 isolates were selected
Teicoplanin/Streptococcus anginosus: Not enough interesting isolates, 0/5 isolates were selected
Vancomycin/Streptococcus anginosus: Not enough interesting isolates, 0/5 isolates were selected
Ceftriaxone/Streptococcus salivarius: Not enough interesting isolates, 3/5 isolates were selected
Meropenem/Streptococcus salivarius: Not enough interesting isolates, 0/5 isolates were selected
Teicoplanin/Streptococcus salivarius: Not enough interesting isolates, 1/5 isolates were selected
Vancomycin/Streptococcus salivarius: Not enough interesting isolates, 1/5 isolates were selected
Streptococcus constellatus: Not enough isolates in first selection, 1/5 isolates were selected
Ceftriaxone/Streptococcus sanguinis: Not enough interesting isolates, 3/5 isolates were selected
Meropenem/Streptococcus sanguinis: Not enough interesting isolates, 0/5 isolates were selected
Teicoplanin/Streptococcus sanguinis: Not enough interesting isolates, 0/5 isolates were selected
Vancomycin/Streptococcus sanguinis: Not enough interesting isolates, 0/5 isolates were selected
Ampicillin/Streptococcus agalactiae: Not enough interesting isolates, 0/5 isolates were selected
Ceftriaxone/Streptococcus agalactiae: Not enough interesting isolates, 0/5 isolates were selected
Linezolid/Streptococcus agalactiae: Not enough interesting isolates, 0/5 isolates were selected
Teicoplanin/Streptococcus agalactiae: Not enough interesting isolates, 0/5 isolates were selected
Trimethoprim-sulfamethoxazole/Streptococcus agalactiae: Not enough interesting isolates, 0/5 isolates were selected
Vancomycin/Streptococcus agalactiae: Not enough interesting isolates, 0/5 isolates were selected
Ampicillin/Streptococcus pyogenes: Not enough interesting isolates, 0/5 isolates were selected
Ceftriaxone/Streptococcus pyogenes: Not enough interesting isolates, 0/5 isolates were selected
Linezolid/Streptococcus pyogenes: Not enough interesting isolates, 0/5 isolates were selected
Teicoplanin/Streptococcus pyogenes: Not enough interesting isolates, 0/5 isolates were selected
Trimethoprim-sulfamethoxazole/Streptococcus pyogenes: Not enough interesting isolates, 2/5 isolates were selected
Vancomycin/Streptococcus pyogenes: Not enough interesting isolates, 0/5 isolates were selected
